departamento,codigo_departamento,municipio,codigo_municipio,poblacion,Fecha,count
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-21,133
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-22,118
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-23,133
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-24,39
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-25,28
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-26,126
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-27,191
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-28,125
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-29,130
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-30,138
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-31,29
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-01,22
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-02,96
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-03,149
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-04,142
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-05,129
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-06,135
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-07,57
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-08,37
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-09,120
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-10,153
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-11,178
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-12,160
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-13,139
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-14,39
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-15,21
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-16,209
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-17,141
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-18,145
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-19,201
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-20,174
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-21,45
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-22,21
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-23,171
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-24,161
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-25,167
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-26,126
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-27,183
